Tanggal,Waktu,Nama Pengguna,Event
31-May-2021,11:23:26,Admin Pandan Arum,File System LOG dibuat
31-May-2021,11:24:27,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:24:30,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:24:45,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:24:47,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:26:26,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:26:29,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:28:08,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:28:10,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:29:37,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:29:39,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:34:31,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:36:52,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:36:53,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:36:54,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:36:54,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:36:54,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:36:54,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:37:02,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:37:04,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:37:28,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:37:32,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
31-May-2021,11:37:51,"mjsodiq, super",super mjsodiq berhasil login
31-May-2021,11:37:56,Muhammad Ja'far Sodiq,membuka Page 3 (Atur Stok)
